Type;Committee;Reference;Vote;Result;Status;Opening date;Closing date;Closed on;Vienna agreement;Work Item ID;Work Item Number;Role;Title;URL;Note
"Enquiry";"CEN/TC 459/SC 2";"prEN ISO 4935";"";"";"Open";"2025-11-13";"2026-02-04";"n/a";"VA/ISO";"78862";"EC102121";"Voter";"Steel and iron - Determination of sulfur content - Infrared absorption method after combustion in an induction furnace (ISO/DIS 4935:2025)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=167617";""
"Enquiry";"CEN/TC 112";"prEN 13810-1";"";"";"Open";"2025-11-13";"2026-02-05";"n/a";"None";"80483";"00112240";"Voter";"Wood-based panels - Floating floors - Part 1: Performance specifications and requirements";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=167619";""
"CIB-ActivPWI";"CEN/TC 38";"Activation Preliminary Work Item - Revision EN 1001-1 and -2";"";"";"Open";"2025-12-13";"2026-02-06";"n/a";"None";"";"";"Voter";"Activation of a Preliminary Work Item - Revision of EN 1001-1:2005 and EN 1001-2:2005 Biological durability of wood and wood-based products – Terminology (draft Decision CEN/TC 38 341/2026)";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=173716";""
"CIB-NWI";"CEN/TC 38";"Adoption of a New Work Item - Revision of EN 15119-1:2025";"";"";"Open";"2025-12-13";"2026-02-06";"n/a";"None";"";"";"Voter";"Adoption of a New Work Item - Revision of EN 15119-1:2025, Biological durability of wood and wood-based products - Determination of emissions from preservative treated wood to the environment - Part 1: Wood held in the storage yard after treatment and wooden commodities exposed in Use Class 3 (not covered, not in contact with the ground) - Laboratory method Draft Decision CEN/TC 38 342/2025";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=173756";""
"FV";"CEN/TC 185";"FprEN ISO 10642";"";"";"Open";"2025-12-11";"2026-02-06";"n/a";"VA/ISO";"80897";"00185454";"Voter";"Fasteners - Hexagon socket countersunk head screws with reduced loadability (ISO/FDIS 10642:2025)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=172964";""
"CIB";"CEN/TC 392";"Adoption of EN ISO 22176 by CEN/TC 392";"";"";"Open";"2026-01-24";"2026-02-06";"n/a";"None";"";"";"Voter";"Adoption of EN ISO 22176  Cosmetics - Analytical Methods - Validation of quantitative analytical methods using an integrated approach by CEN/TC 392";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181076";"ISO 22176, currently being developed in ISO/TC 217 in working group 3 ""Analytical Methods"" (Project Leader Fabien Valadon, France), has recently been submitted to DIS vote. CEN/TC 392 proposes adopting this ISO standard in the CEN/TC 392 work programme under ISO Lead. Please find below a Draft Decision submitted to CEN/TC 392 members for vote. Draft DECISION 01/2026 taken by CEN/TC 392 on 2026-02-06 Subject: CEN/TC 392 – Adoption of ISO/DIS 22176 by CEN/TC 392 under the Vienna Agreement with an ISO lead   CEN/TC 392 Cosmetics, considering the Vienna Agreement, which lays down the conditions when envisaging the parallel development of standards by ISO and CEN;decides to adopt the work item ISO 22176 Cosmetics - Analytical Methods - Validation of quantitative analytical methods using an integrated approach in its work programme under the Vienna Agreement (ISO lead). The decision was taken by weighted majority with N positive votes, N negative vote(s) and N abstention(s)."
"CIB-AdopPWI";"CEN/TC 447";"PWI - Electronic contracts (WG 1)";"";"";"Open";"2025-12-13";"2026-02-06";"n/a";"None";"";"";"Voter";"";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=174256";""
"CIB";"CEN/TC 462";"Draft TC 462 Decision C001-2026";"";"";"Open";"2026-01-08";"2026-02-06";"n/a";"None";"";"";"Voter";"Draft TC 462 Decision C001-2026 extend the current Chairperson's Term of Office for another 3-Year period";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=177976";"Dear Delegates, The term of Mrs. Catherine Colin as Chairperson of TC462 will end in July 2026. In agreement with Mrs. Catherine Colin, AFNOR wishes to extend her mandate for an additional three years. In accordance with RESOLUTION BT 76/1995 Revised, we are launching a 4-week consultation for the reconfirmation of the Chairperson by the TC members. Therefore, a ballot is being launched among TC 462 members via the CIB portal to receive your vote on this matter. Draft TC 462 Decision C001-2026 ""extend the current Chairperson's Term of Office for another 3-Year period "". This means that the new Term of Ms Catherine Colin as Chairperson of TC462 will end on July 24, 2029."
"CIB-NWI";"CEN/TC 169";"Adoption of NWI - CEN/TS 12464-3 (non visual effects)";"";"";"Open";"2025-12-13";"2026-02-07";"n/a";"None";"";"";"Voter";"Adoption of NWI, CEN/TS 12464-3: Light and Lighting – Lighting of work places – Part 3: Non-visual effects of lighting";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=174036";"Please register experts to work on this project in CEN/TC 169/WG 2."
"Enquiry";"CEN/TC 230";"prEN ISO 9308-4";"";"";"Open";"2025-11-20";"2026-02-10";"n/a";"VA/ISO";"77973";"00230429";"Voter";"Water quality - Enumeration of Escherichia coli and coliform bacteria - Part 4: Membrane filtration method for Escherichia coli in water with high levels of background bacteria (ISO/DIS 9308-4:2025)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=168656";""
"CIB";"CEN/TC 438";"Approval of revised Business Plan (Decision 2025/06)";"";"";"Open";"2025-12-20";"2026-02-10";"n/a";"None";"";"";"Voter";"Approval of CEN/TC 438 revised Business Plan";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=175876";"As per Decision 2025/06 taken by CEN/TC 438 at the plenary meeting held on 11 December 2025 (see document N 459 below), the committee agreed to adopt the revised Business Plan which includes:  -        aspects related to the pivotal role played by European policies and initiatives in driving progress and boosting the development of AM standards (EU-funded ""S-AM"" project, 2025 AUXP); -        aspects related to collaboration with European research projects in AM; -        aspects related machinery safety regulation and the new standardization request; -        aspects related to recent environmental initiatives, including the creation of the Joint ISO/TC 261-ASTM F42 Group 84 Life Cycle Assessment for AM, which is working on the EN ISO/ASTM 52964 series (Qualification principles for life cycle assessment of parts and processes on AM). Some outdated statistical data and reports from 2013 in section 1.1 (research program ""SASAM"") and 1.2 (Wohler's report) have been removed.  To allow a final review by all European members and gather additional feedback, stakeholders are kindly requested to vote by 10 February 2026. After that, the new BP (see N 461) will be sent to the CCMC for further proceedings."
"CIB-AdopFV";"CEN/TC 193/SC 1";"WI 00193396 Adoption for formal vote as CEN/TS";"";"";"Open";"2025-11-12";"2026-02-11";"n/a";"None";"";"";"Voter";"Adhesives for load-bearing timber structures made of hardwoods – Classification and performance requirements – Definition of groups of selected hardwood species (A and B) and sampling specifications for testing";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=167796";""
"CIB";"CEN/TC 459/SC 2";"Review of Technical Reports";"";"";"Open";"2025-11-12";"2026-02-11";"n/a";"None";"";"";"Voter";"Review of Technical Reports";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=165416";"It is recommended that Technical Reports (TR) are regularly reviewed to ensure that they remain valid. In accordance with Decision 14/2025, taken on the plenary meeting 2025-10-09, we are now launching this CIB for the review of the following technical reports:  CEN/TR 10345:2013 Guideline for statistical data treatment of inter laboratory tests for validation of analytical methods  CEN/TR 10350:2013 Analysis of steels and irons - Internal laboratory procedure for checking the accuracy of an analytical method by using Certified Reference Materials CEN/TR 10353:2011 Chemical analysis of ferrous materials - Analysis of ferro-silicon - Determination of Al, Ti and P by inductively coupled plasma optical emission spectrometry CEN/TR 10354:2011 Chemical analysis of ferrous materials - Analysis of ferro-silicon - Determination of Si and Al by X-ray fluorescence spectrometry  CEN/TR 10362:2014 Chemical analysis of ferrous materials - Determination of selenium in steels - Electrothermal atomic absorption spectrometric method CEN/TR 10364:2018 Steels and cast irons - Determination of substances listed in the directives 2011/65/EU (RoHS) and 2000/53/EC (ELV) – Limitations CEN/TR 10367:2019 Alloyed steels - Determination of chromium content - Inductively coupled plasma optical emission spectrometric method We kindly ask you to indicate whether these technical reports are still valid, need to be updated or should be withdrawn."
"Enquiry";"CEN/TC 127";"EN 13501-2:2023/prA1";"";"";"Open";"2025-11-20";"2026-02-12";"n/a";"None";"79220";"00127467";"Voter";"Fire classification of construction products and building elements - Part 2: Classification using data from fire resistance and/or smoke control tests, excluding ventilation services";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=168698";""
"FV";"CEN/TC 127";"FprEN 13381-11";"";"";"Open";"2025-12-18";"2026-02-12";"n/a";"None";"76662";"00127437";"Voter";"Test methods for determining the contribution to the fire resistance of structural members - Part 11: Applied reactive protection to solid steel bars in tension based on mechanically loaded fire tests";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=175101";""
