Type;Committee / Working Group;Reference;Vote;Result;Status;Start date;End date;Vienna agreement;Role;English title;URL;Note;Vote in parallel with;Project ID
"CIB";"ISO/TC 147/SC 3";"AdG1 and WG 14 – Convenorship – 2026-2028 – 2nd Call for nom";"";"";"Open";"2026-01-16";"2026-02-06";"";"Obligated voter";"";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=557289";"Dear Members, The term of the ISO/TC 147/SC 3 active Working Groups convenors’ mandates expired at the end of 2025. At the close of our previous call for nominations for the convenorship of AdG 1 “Future standardization work on radioactivity measurements” and WG 14 “ICP/MS”, we received no applications (2025-12-15). Recognizing the importance of continuity in effective management for the successful functioning of working groups, ISO/TC 147/SC 3 is once again kindly inviting National Standards Bodies to submit nominations, by 2026-02-06, to fill the role of Convenor, for 2026-2028, of the following working groups: ISO/TC 147/SC 3/AdG1 “Future standardization work on radioactivity measurements,”ISO/TC 147/SC 3/WG 14 “ICP/MS”,Thank you. As a reminder, the role of the Convenor is very important to the group’s success. Its capabilities requirements are the following: Project management competence: • structured working method Technical competence: • knowledge of technical background Leadership competence: • ability to motivate experts to successfully complete the project according to the planned timeframe • impartiality • ability to collaborate and negotiate • adaptability WG management competence: • open-mindedness • communication including listening abilities • ability to mediate between different opinions (Ref: ISO - Project Management Methodology in the ISO and IEC environment – Good practices)";"";""
"CIB";"ISO/TC 35/SC 14";"Draft ISO/CD 25249-2 for comment (ISO/TC 107/JWG 6)";"";"";"Open";"2026-01-08";"2026-02-07";"";"Obligated voter";"ISO/CD 25249-2, Corrosion protection of offshore wind structures — Part 2: Primary steel components — general requirements for thermal spraying and painting";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=551789";"";"";""
"CD";"ISO/TC 79/SC 6";"ISO/CD 7271-1";"";"";"Open";"2025-12-13";"2026-02-07";"";"Obligated voter";"Aluminium and aluminium alloys — Foil — Part 1: Technical conditions for inspection and delivery";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=540069";"";"";"88812"
"CD";"ISO/TC 79/SC 6";"ISO/CD 7271-2";"";"";"Open";"2025-12-13";"2026-02-07";"";"Obligated voter";"Aluminium and aluminium alloys — Foil — Part 2: Mechanical properties";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=540249";"";"";"88813"
"CD";"ISO/TC 79/SC 6";"ISO/CD 7271-3";"";"";"Open";"2025-12-13";"2026-02-07";"";"Obligated voter";"Aluminium and aluminium alloys — Foil — Part 3: Dimensional tolerances";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=540269";"";"";"88814"
"CIB";"ISO/TC 8/SC 26";"Transfer ISO 25932-2 from ISO/TC8/SC26 to ISO/TC8/SC8";"";"";"Open";"2026-01-18";"2026-02-08";"";"Obligated voter";"ISO/TC8/SC26 agrees to transfer ISO/AWI 25932-2 Ships and marine technology — Smart shipping — Part 2: Part 2：Smart inspection for draught to ISO/TC8/SC8 Ship Design with the consensus reached by both SCs leaderships.";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=558749";"";"";""
"CIB";"ISO/TC 35/SC 12";"N 1264 ISO/CD 25249-2";"";"";"Open";"2026-01-02";"2026-02-08";"";"Obligated voter";"ISO/CD 25249-2 Corrosion protection for offshore wind structures – Part 2: Primary steel components – General requirements for thermal spraying and painting.";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=548609";"This CD consultation has opened in ISO/TC 35, ISO/TC 107 (the 'parents' of the JWG) and CEN/TC 262. ISO/TC 35/SC 12 members are invited to send their comments through this CIB, by 8 February 2026. Note. All comments will be collated by ISO/TC 35 and sent to ISO/TC 107.";"";""
"CIB";"ISO/TC 107";"CIB resolution for approval of SC 3 chairperson";"";"";"Open";"2026-01-12";"2026-02-09";"";"Obligated voter";"CIB resolution for approval of SC 3 chairperson";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=552729";"• The current mandate of chairperson for TC 107/SC 3 – Electrodeposited coatings and related finishes, Dr. Dong Hyun Kim, was expired on 2025-12-31. According to the ISO/IEC directives, Part 1, subclause 1.8.1, the database of the mandate of the chairperson required an update. • Noting the proposal from the SC 3 secretariat to appoint Dr. Kyuhwan Lee as a successor of the SC 3 chairperson for initial three years term (i.e., 2026-2028), we are launching this CIB resolution by correspondence for approving his nomination from our TC107 P members.";"";""
"CIB";"ISO/TC 107";"CIB resolution for approval of SC 8 chairperson";"";"";"Open";"2026-01-12";"2026-02-09";"";"Obligated voter";"CIB resolution for approval of SC 8 chairperson";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=552749";"• The current Chairperson of TC 107/SC 8 – Chemical conversion coatings, Dr. Kyuhwan Lee, is transitioning to the Chairperson position for TC 107/SC 3 and has consequently resigned from his mandate in SC 8. In accordance with the ISO/IEC Directives, Part 1, subclause 1.8.1, an update to the chairperson database is required. • Noting the proposal from the SC 8 secretariat to appoint Dr. Injoon Son as a successor of the SC 8 chairperson for an initial three-year term (i.e., 2026-2028), we are launching this CIB resolution by correspondence for approving his nomination from our TC107 P members.";"";""
"CIB";"ISO/TC 147/SC 4";"pre-FDIS-consultation on EN ISO 11133";"";"";"Open";"2026-01-14";"2026-02-09";"";"Obligated voter";"Consultation pre-FDIS on EN ISO 11133 ed.2";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=554369";"Dear SC 4 members, During the last ISO/TC 34/SC 9 annual meeting, the following resolution taken by SC 9 members has approved by ISO/TC 34/SC 9: Resolution N 2025/14 Follow-up on works of ISO/TC 34/SC 9/JWG 5 “Food microbiology - Culture media” (joint working group with ISO/TC 147/SC 4) Co-convenors: Melody Greenwood / Eric Pierlot (from ISO/TC 147/SC 4 “Water quality – Microbiological methods”) ISO/DIS 11133 Microbiology of food, animal feed and water -- Preparation, production, storage and performance testing of culture media and reagents SC 9 asked JWG 5 to answer DIS-comments and to prepare the draft document for FDIS-ballot including the definitions of “Culture media with defined non-proprietary formula” and “Widely available ingredients” by the end of February 2026. JWG 5 is asked to modify the definition of the first term.In this context, the working group ISO/TC 34/SC 9/JWG 5 submitted a draft for pre-FDIS ballot (4 weeks), and members of ISO/TC 34/SC 9, ISO/TC 147/SC 4 and CEN/TC 463 are invited to study the draft ISO/pre-FDIS prepared (version clear and with track changes visible) and the JWG 5 answers to the comments received during the DIS-Ballot for ISO 11133. The draft will be then reviewed by the working group for the FDIS ballot that should take place no later than end of March 2026.";"";""
"CIB";"ISO/TC 43/SC 3";"Draft Resolution C 4/2025 – Reinstatement of ISO/PWI";"";"";"Open";"2025-12-16";"2026-02-10";"";"Obligated voter";"";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=542089";"";"";""
"DIS";"ISO/TC 147/SC 4";"ISO/DIS 9308-4";"";"";"Open";"2025-11-18";"2026-02-10";"Joint, ISO lead";"Obligated voter";"Water quality — Enumeration of Escherichia coli and coliform bacteria — Part 4: Membrane filtration method for Escherichia coli in water with high levels of background bacteria";"https://isotc.iso.org/livelink/eb3/part/dis/ballotAction.do?method=doView&id=510973";"";"";"85903"
"CIB";"ISO/TC 92";"Reappointment of Dr Ian Bradley as Chair of ISO/TC 92/SC 2";"";"";"Open";"2025-11-19";"2026-02-11";"";"Obligated voter";"ISO/TC 92, following the nomination of the Secretariat ANSI, decides to appoint Dr Ian Bradley as Chair of ISO/TC 92/SC 2 for a period of 3 years from 2026-2028 as the current term ends this year 2023-2025 (noting a maximum 6 years/up to a cumulative maximum of 9 years).  Form and CV attached to this ballot for reference.";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=526769";"";"";""
"CIB";"ISO/TC 8/SC 8";"Transition of ISO AWI 25932-2 from SC26 to SC8";"";"";"Open";"2026-01-15";"2026-02-12";"";"Obligated voter";"";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=554549";"";"";""
"CIB";"ISO/TC 10";"Draft Resolution 1149 - Appointment of SC 10 chair";"";"";"Open";"2026-01-15";"2026-02-12";"";"Obligated voter";"Resolution 1149 by correspondance - Appointment of ISO/TC 10/SC 10 Chair";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=554929";"The new secretariat of ISO/TC 10/SC 10 - Process plant documentation, held by SN (Norway) has nominated Mr. Slinning Østad for the period starting 2025-12-17 until 2028-12-31. See appended form and brief CV..";"";""
"CD";"ISO/TC 44/SC 5";"ISO/CD 11666";"";"";"Open";"2025-12-18";"2026-02-12";"Joint, ISO lead";"Obligated voter";"Non-destructive testing of welds — Ultrasonic testing — Acceptance levels";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=543189";"";"";"90916"
"CD";"ISO/TC 44/SC 5";"ISO/CD 17640";"";"";"Open";"2025-12-18";"2026-02-12";"Joint, ISO lead";"Obligated voter";"Non-destructive testing of welds — Ultrasonic testing — Techniques, testing levels, and assessment";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=543170";"";"";"90918"
"CD";"ISO/TC 44/SC 5";"ISO/CD 20601";"";"";"Open";"2025-12-18";"2026-02-12";"Joint, ISO lead";"Obligated voter";"Non-destructive testing of welds — Ultrasonic testing — Phased array technique for thin-walled steel components";"https://isotc.iso.org/livelink/eb3/part/cib/ballotAction.do?method=doView&id=543209";"";"";"90919"
